mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__boosting_type,param_classifier__learning_rate,param_classifier__num_leaves,param_vectorizer__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
112.3366470336914,7.025935700592152,0.9714689731597901,0.05855408828392269,dart,0.001,20,"(1, 2)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 20, 'vectorizer__ngram_range': (1, 2)}",0.653125,0.634375,0.6,0.675,0.659375,0.6443749999999999,0.025723894534070868,87
174.60169382095336,18.740129342888363,1.5154069423675538,0.3017030127391973,dart,0.001,20,"(1, 3)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 20, 'vectorizer__ngram_range': (1, 3)}",0.64375,0.634375,0.6125,0.684375,0.659375,0.646875,0.024125323832023454,85
153.53146362304688,22.942490111019826,0.3809523582458496,0.08356968144159883,dart,0.001,31,"(1, 1)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 31, 'vectorizer__ngram_range': (1, 1)}",0.684375,0.653125,0.603125,0.70625,0.615625,0.6525,0.039250796170268956,82
140.5224383354187,13.278533812143774,0.9292616367340087,0.05084930616937395,dart,0.001,31,"(1, 2)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 31, 'vectorizer__ngram_range': (1, 2)}",0.65625,0.653125,0.6125,0.69375,0.646875,0.6525000000000001,0.025875301930605544,81
208.0186421394348,27.581848065616857,1.6994001388549804,0.15322169734200686,dart,0.001,31,"(1, 3)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 31, 'vectorizer__ngram_range': (1, 3)}",0.65,0.653125,0.609375,0.7,0.646875,0.651875,0.02881785470849624,83
213.09590229988098,89.11708429196857,0.392090368270874,0.031689873604235995,dart,0.001,40,"(1, 1)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 40, 'vectorizer__ngram_range': (1, 1)}",0.69375,0.659375,0.621875,0.696875,0.621875,0.6587500000000001,0.032858598570237305,79
228.62996578216553,21.090774360916306,0.9883678436279297,0.08871060218496948,dart,0.001,40,"(1, 2)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 40, 'vectorizer__ngram_range': (1, 2)}",0.640625,0.634375,0.634375,0.671875,0.640625,0.6443749999999999,0.014031215200402274,87
270.93240122795106,50.38183659124333,1.549576187133789,0.09197438219150847,dart,0.001,40,"(1, 3)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 40, 'vectorizer__ngram_range': (1, 3)}",0.634375,0.634375,0.621875,0.68125,0.640625,0.6425,0.020310096011589916,90
222.87392268180847,32.51448414878335,0.43286890983581544,0.036003147042698344,dart,0.001,50,"(1, 1)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 50, 'vectorizer__ngram_range': (1, 1)}",0.690625,0.659375,0.625,0.690625,0.621875,0.6575000000000001,0.030078023538789942,80
247.42966318130493,22.95994742778734,0.9362648487091064,0.05264673750457108,dart,0.001,50,"(1, 2)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 50, 'vectorizer__ngram_range': (1, 2)}",0.640625,0.634375,0.634375,0.66875,0.646875,0.645,0.012747548783981938,86
